ALLEY_TRDAR_NO,SIGNGU_CD_NM,ADSTRD_CD_NM
12998,양천구,신정동
13629,양천구,신정동
12977,양천구,신정동
12830,양천구,신정동
12952,양천구,신정동
12856,양천구,신정동
12839,양천구,신정동
13537,양천구,신정동
12842,양천구,신정동
12858,양천구,신정동
12961,양천구,신정동
12943,양천구,신정동
12850,양천구,신정동
12942,양천구,신정동
12982,양천구,신정동
12997,양천구,신정동
13036,양천구,신정동
13034,양천구,신정동
12562,강서구,염창동
12565,강서구,염창동
12673,강서구,염창동
12590,강서구,염창동
12531,강서구,염창동
12474,강서구,등촌동
12491,강서구,등촌동
12581,강서구,등촌동
12536,강서구,등촌동
12591,강서구,등촌동
12542,강서구,등촌동
12490,강서구,등촌동
13516,강서구,등촌동
12545,강서구,등촌동
12511,강서구,등촌동
12469,강서구,등촌동
12534,강서구,등촌동
12388,강서구,등촌동
12532,강서구,등촌동
12523,강서구,등촌동
12521,강서구,등촌동
12772,강서구,화곡동
12716,강서구,화곡동
12827,강서구,화곡동
12789,강서구,화곡동
12733,강서구,화곡동
12738,강서구,화곡동
12800,강서구,화곡동
13571,강서구,화곡동
12742,강서구,화곡동
12874,강서구,화곡동
12881,강서구,화곡동
12884,강서구,화곡동
12871,강서구,화곡동
12650,강서구,화곡동
13594,강서구,화곡동
13506,강서구,화곡동
12713,강서구,화곡동
12645,강서구,화곡동
12681,강서구,화곡동
12721,강서구,화곡동
12748,강서구,화곡동
12780,강서구,화곡동
13635,강서구,화곡동
12761,강서구,화곡동
12620,강서구,화곡동
12677,강서구,화곡동
13574,강서구,화곡동
12711,강서구,화곡동
12619,강서구,화곡동
12470,강서구,화곡동
13534,강서구,화곡동
12472,강서구,화곡동
12548,강서구,화곡동
12560,강서구,화곡동
12753,강서구,화곡동
12749,강서구,화곡동
12758,강서구,화곡동
12767,강서구,화곡동
12766,강서구,화곡동
12759,강서구,화곡동
12452,강서구,가양동
12335,강서구,가양동
12416,강서구,가양동
12486,강서구,발산동
12595,강서구,발산동
12550,강서구,발산동
12549,강서구,발산동
12551,강서구,발산동
12482,강서구,우장산동
12723,강서구,우장산동
12576,강서구,우장산동
12533,강서구,우장산동
12604,강서구,우장산동
12394,강서구,공항동
12449,강서구,공항동
12351,강서구,방화동
12354,강서구,방화동
12361,강서구,방화동
12356,강서구,방화동
12442,강서구,방화동
12334,강서구,방화동
12448,강서구,방화동
12332,강서구,방화동
12397,강서구,방화동
12331,강서구,방화동
12438,강서구,방화동
12297,강서구,방화동
12303,강서구,방화동
13014,구로구,신도림동
13227,구로구,구로동
13300,구로구,구로동
13626,구로구,구로동
13278,구로구,구로동
13136,구로구,구로동
13137,구로구,구로동
13345,구로구,구로동
13246,구로구,구로동
13247,구로구,구로동
13293,구로구,구로동
13295,구로구,구로동
13301,구로구,구로동
13185,구로구,구로동
13281,구로구,구로동
13317,구로구,구로동
13286,구로구,구로동
13289,구로구,구로동
13261,구로구,구로동
13290,구로구,구로동
13116,구로구,구로동
13234,구로구,구로동
13073,구로구,구로동
13176,구로구,구로동
13091,구로구,구로동
13052,구로구,구로동
13323,구로구,가리봉동
13414,구로구,가리봉동
13387,구로구,가리봉동
13408,구로구,가리봉동
13363,구로구,가리봉동
13175,구로구,고척동
13144,구로구,고척동
13083,구로구,고척동
13129,구로구,고척동
13053,구로구,고척동
13072,구로구,고척동
13046,구로구,고척동
13070,구로구,고척동
13019,구로구,고척동
13547,구로구,고척동
13069,구로구,고척동
13241,구로구,개봉동
13612,구로구,개봉동
13135,구로구,개봉동
